citing_opinion_id,cited_opinion_id
1078855,2277050
1078855,2402876
1078855,2383811
1078855,2276935
1078855,2450122
1078855,2431437
1078855,1060560
1078855,1748185
1078855,1781595
1078855,110138
1078855,1060708
1078855,1718886
1078855,2462824
1078855,2362733
1078855,1506546
1078855,2466551
1078855,1747577
1078855,1740283
1080015,108800
1080015,2455811
1080015,2365958
1080015,2107500
1080015,2451726
1080015,198544
1039156,2333933
1039156,1895853
1042470,1233257
1042470,2244418
1042470,2306338
1042470,2256319
1045422,1775654
1045422,1060680
1045422,1620047
1045422,108497
1045422,1747923
1045422,110676
1045422,1672350
1048199,1667361
1048199,1076425
1048199,1673578
1048199,1657265
1048199,2445170
1048199,1060435
1048199,1054260
1048199,3894039
1048199,1060984
1048199,1079028
1048199,1503835
1048199,1073566
1050913,1060346
1050913,1080917
1053612,1745560
1053612,2360604
1053612,2275851
1053612,1726604
1053612,1880886
1056203,1083904
1056203,1060512
1056203,111170
1056203,112807
1056203,1731961
1056203,1071361
1056203,1652648
1056203,1060938
1056203,1628439
1056203,1672405
1056203,2378082
1056203,1769614
1056203,2388301
1056203,1717810
1056203,111539
1056203,2461365
1056203,108215
1056203,1745959
1056203,1746202
1056203,2277242
1056203,1723519
1058754,1059178
1058754,1059252
1058754,1059597
1058754,1060180
1058754,1349977
1058754,1058847
1061310,1062530
1061310,1062153
1061310,1063562
1061310,1238540
1061310,1306014
1061310,1067679
1061310,1270560
1061310,1062310
1061310,1307180
1061310,1327031
1061310,1063200
1061310,1061834
1061310,1331923
1061310,1067605
1061310,1064288
1061310,1223525
1061310,1397096
1061310,1066351
1061310,1063668
1061310,1294326
1061310,1245943
1061310,1372030
1063831,1288491
1063831,1410439
1063831,1067400
1063831,1277707
1063831,1325246
1063831,1059095
1063831,1059230
1063831,1314311
1063831,1064158
1063831,110138
1063831,1059134
1063831,1064075
1063831,1337931
1063831,131150
1063831,1065683
1063831,1068124
1063831,1342046
1063831,1301618
1063831,1321459
1063831,1333620
1063831,1264574
1063831,1234295
1066281,1279520
1066281,1200290
1066281,101224
1066281,1294889
1066281,1268874
1066281,1269487
1066281,1303130
1066281,1354730
1068548,1395553
1068548,1064452
1068548,1222728
1068548,1253180
1068548,1067370
1068548,1067884
1068548,1334286
1068548,1326833
1068548,1157298
1068548,1064533
1068548,1248503
1068548,1369593
1068548,1064443
1068548,1064412
1070668,1859538
1070668,2375347
1070668,1493405
1070668,1569206
1072690,2448513
1072690,1657252
1072690,1060681
1072690,2431437
1072690,1060560
1072690,1740283
1074510,1781850
1074510,1981394
1074510,1375188
1074510,1060685
1074510,106598
1076139,1333620
1076139,1287315
1076139,1262812
1076139,1277405
1076139,1212547
1077566,108800
1077566,1060997
1077566,2454155
1077566,1721741
1077566,118036
1077566,301718
1077566,108377
1077566,540933
1077566,7205
1077566,303272
1077566,1060909
1077566,1060655
1077566,741175
1077566,104504
1077566,1060923
1077566,153660
1077566,153281
1077566,107716
1077566,769221
1077566,1060919
1077566,1081677
1077566,1795662
1077566,1768015
1077566,752081
1077566,112595
1077566,1060948
1077566,2429646
1077566,1060825
1077566,572508
1077566,110045
1077566,1200095
1077566,107473
1077566,1653372
1078885,2392833
1078885,1498987
1078885,1060898
1078885,2417700
1078885,1493926
1078885,1799723
1078885,1758132
1039168,708160
1039168,1506369
1039168,2334676
1042464,1801857
1042464,2633513
1042464,1444203
1042464,2584856
1042464,2520952
1042464,844287
1045432,1072722
1045432,1068892
1048179,1054049
1048179,2413699
1048179,1057637
1048179,1053222
1048179,1073889
1048179,1717793
1048179,1052457
1048179,1074071
1048179,1053231
1048179,1562741
1048179,1747923
1048179,2372340
1048179,2372597
1048179,1060982
1048179,1637985
1048179,2330904
1048179,2170233
1048179,1052655
1048179,1057916
1048179,1074517
1050907,2363163
1050907,1740283
1050907,1651558
1050907,2466551
1053603,1060712
1053603,1352681
1053603,1504375
1053603,1060559
1053603,1058291
1053603,1060565
1053603,1580727
1053603,1471450
1056245,1568514
1056245,112807
1056245,314954
1056245,111170
1056245,1769614
1056245,316720
1056245,1492822
1056245,2459031
1056245,2277242
1058759,1512301
1058759,2457125
1058759,1590942
1058759,1494070
1058759,1778279
1061336,1249600
1061336,1334177
1061336,1226595
1061336,1257670
1061336,1341831
1061336,1058952
1061336,1058473
1061336,1299978
1061336,1066311
1061336,1058060
1061336,1058385
1063823,1394946
1063823,1064452
1063823,1067403
1063823,1065868
1063823,1067152
1063823,1288506
1063823,1067172
1063823,1064305
1063823,1245866
1063823,1067051
1063823,1064109
1063823,1059549
1063823,1064250
1063823,1359164
1063823,1063869
1063823,1325246
1063823,1330634
1063823,1064907
1063823,1344205
1063823,1157213
1063823,1226595
1063823,1067370
1063823,1066429
1063823,1227505
1063823,1248503
1063823,1215356
1066283,1683554
1066283,2455908
1066283,2387656
1066283,1743337
1066283,2388306
1066283,1751575
1066283,1773113
1066283,2384218
1068521,1249926
1068521,1064586
1068521,1305997
1068521,1326606
1068521,1064412
1068521,1064492
1068521,1067957
1068521,1269814
1068521,1269564
1068521,1222334
1068521,1226816
1068521,1059393
1068521,1336903
1068521,1064717
1068521,1064916
1068521,1064408
1068521,1065563
1068521,1288412
1068521,1234276
1068521,1064553
1068521,1230955
1068521,1059438
1068521,1064435
1068521,118505
1068521,1369593
1068521,1064443
1070669,1233345
